District,Year,Season,Average_Yield,Production,Sown_Extent,Harvested_Extent,avg_temp,max_temp,min_temp,total_rainfall,total_rain,rainy_days,wind_speed,evapotranspiration,pH,soil_type,zone,temp_range,rain_per_day,harvest_ratio,water_stress
COLOMBO,1979,Maha,2713.0,16.2,7195.0,7006.0,25.99,29.48,23.59,1640.5,1640.5,147.0,12.03,659.07,4.4,Red Yellow Podzolic,Wet,5.890000000000001,11.08445945945946,0.9735964424680378,0.4015047212915017
COLOMBO,1979,Yala,2026.0,6.1,3634.0,3550.0,27.03,29.96,24.84,933.2,933.2,170.0,15.57,730.53,4.4,Red Yellow Podzolic,Wet,5.120000000000001,5.457309941520468,0.9766162310866575,0.7819845857418111
COLOMBO,1980,Maha,2689.0,15.9,7045.0,6928.0,26.28,29.9,23.54,676.8,676.8,118.0,13.96,746.21,4.4,Red Yellow Podzolic,Wet,6.359999999999999,5.687394957983193,0.9832529094521715,1.100929477722042
COLOMBO,1980,Yala,2139.0,10.3,5773.0,5667.0,27.01,29.88,24.9,1141.0,1141.0,175.0,15.37,709.32,4.4,Red Yellow Podzolic,Wet,4.98,6.482954545454546,0.9814686525805334,0.6211208406304729
COLOMBO,1981,Maha,2936.0,17.7,7129.0,7063.0,25.7,29.26,22.94,777.0,777.0,114.0,12.71,708.95,4.4,Red Yellow Podzolic,Wet,6.32,6.756521739130434,0.9906030855539972,0.9112467866323908
COLOMBO,1981,Yala,2311.0,12.0,6247.0,6106.0,26.76,29.56,24.77,1004.4,1004.4,180.0,14.89,684.19,4.4,Red Yellow Podzolic,Wet,4.789999999999999,5.549171270718232,0.9772727272727273,0.6805152178237518
COLOMBO,1982,Maha,3260.0,19.4,7076.0,6987.0,26.02,29.71,23.34,1099.9,1099.9,124.0,12.75,702.88,4.4,Red Yellow Podzolic,Wet,6.370000000000001,8.7992,0.9872827469266638,0.6384594422745026
COLOMBO,1982,Yala,2667.0,13.0,5911.0,5719.0,26.7,29.53,24.64,1157.1,1157.1,179.0,15.29,687.43,4.4,Red Yellow Podzolic,Wet,4.890000000000001,6.428333333333333,0.9673545331529093,0.5935843191434246
COLOMBO,1983,Maha,2882.0,16.4,6863.0,6681.0,26.23,29.7,23.6,771.9,771.9,127.0,13.45,694.25,4.4,Red Yellow Podzolic,Wet,6.099999999999998,6.03046875,0.9733391608391608,0.8982403933238453
COLOMBO,1983,Yala,1779.0,3.8,2606.0,2540.0,27.49,30.41,25.31,1010.3,1010.3,166.0,15.76,730.72,4.4,Red Yellow Podzolic,Wet,5.100000000000001,6.049700598802395,0.9742999616417338,0.7225551270641749
COLOMBO,1984,Maha,2756.0,16.0,6688.0,6647.0,25.47,28.73,23.21,1222.3,1222.3,147.0,13.33,639.74,4.4,Red Yellow Podzolic,Wet,5.52,8.258783783783784,0.99372103453431,0.5229624785416497
COLOMBO,1984,Yala,2287.0,10.7,5824.0,5507.0,26.19,28.82,24.33,1355.9,1355.9,167.0,15.56,656.65,4.4,Red Yellow Podzolic,Wet,4.490000000000002,8.070833333333335,0.9454077253218884,0.4839339671309602
COLOMBO,1985,Maha,2961.0,16.3,6523.0,6447.0,25.65,29.03,23.22,1229.5,1229.5,145.0,13.0,654.95,4.4,Red Yellow Podzolic,Wet,5.810000000000002,8.42123287671233,0.9881974248927039,0.5322633075985372
COLOMBO,1985,Yala,2478.0,10.1,4986.0,4785.0,26.33,28.91,24.48,1400.3,1400.3,179.0,15.44,649.3,4.4,Red Yellow Podzolic,Wet,4.43,7.779444444444445,0.9594946861840786,0.46335545564832653
COLOMBO,1986,Maha,3326.0,18.3,6524.0,6460.0,25.75,29.15,23.31,786.6,786.6,145.0,13.17,668.15,4.4,Red Yellow Podzolic,Wet,5.84,5.387671232876713,0.9900383141762452,0.848336719146775
COLOMBO,1986,Yala,2841.0,13.7,5728.0,5651.0,26.43,29.12,24.53,1041.0,1041.0,178.0,15.32,676.87,4.4,Red Yellow Podzolic,Wet,4.59,5.815642458100559,0.9863850584744284,0.6495873320537429
COLOMBO,1987,Maha,3435.0,18.0,6195.0,6162.0,26.34,29.79,23.87,1072.6,1072.6,130.0,13.57,688.46,4.4,Red Yellow Podzolic,Wet,5.919999999999998,8.187786259541983,0.9945125887669464,0.6412630402384502
COLOMBO,1987,Yala,2269.0,7.4,4008.42,3826.0,27.25,30.15,25.12,1034.3,1034.3,176.0,14.73,718.84,4.4,Red Yellow Podzolic,Wet,5.029999999999998,5.843502824858756,0.9542527348095236,0.694330145851444
COLOMBO,1988,Maha,2940.0,15.7,6328.0,6250.0,26.38,30.06,23.6,929.1,929.1,123.0,13.37,742.81,4.4,Red Yellow Podzolic,Wet,6.459999999999997,7.492741935483871,0.9875177753199558,0.7986345554241479
COLOMBO,1988,Yala,2908.0,12.7,5157.0,5138.0,26.76,29.4,24.95,1767.3,1767.3,179.0,14.69,622.93,4.4,Red Yellow Podzolic,Wet,4.449999999999999,9.818333333333333,0.9961225281116712,0.35227619747780353
COLOMBO,1989,Maha,3375.0,18.5,6443.0,6426.0,26.1,29.81,23.34,1135.0,1135.0,115.0,13.39,709.99,4.4,Red Yellow Podzolic,Wet,6.469999999999999,9.78448275862069,0.9972067039106145,0.6249911971830986
COLOMBO,1989,Yala,2251.0,6.8,3559.0,3542.0,26.49,29.25,24.53,1497.6,1497.6,174.0,15.86,654.83,4.4,Red Yellow Podzolic,Wet,4.719999999999999,8.557714285714285,0.994943820224719,0.43696116375283606
COLOMBO,1990,Maha,2970.0,16.1,6346.0,6344.0,26.19,29.7,23.57,1229.6,1229.6,138.0,13.37,693.4,4.4,Red Yellow Podzolic,Wet,6.129999999999999,8.846043165467625,0.9995273357491729,0.5634649764342597
COLOMBO,1990,Yala,2477.0,10.2,4836.0,4819.0,26.77,29.46,24.89,1266.6,1266.6,177.0,15.4,671.58,4.4,Red Yellow Podzolic,Wet,4.57,7.115730337078651,0.9962786851354145,0.5298043546860209
COLOMBO,1991,Maha,3567.0,19.2,6314.0,6311.0,25.92,29.42,23.34,1043.4,1043.4,134.0,13.18,682.46,4.4,Red Yellow Podzolic,Wet,6.080000000000002,7.728888888888889,0.9993665874901029,0.6534469551895825
COLOMBO,1991,Yala,2013.0,8.2,4815.0,4758.0,26.88,29.67,24.88,1264.2,1264.2,179.0,15.16,687.85,4.4,Red Yellow Podzolic,Wet,4.790000000000003,7.023333333333333,0.9879568106312292,0.5436689851406892
COLOMBO,1992,Maha,3290.0,16.8,6024.0,6010.0,25.92,29.44,23.33,987.8,987.8,121.0,14.12,702.0,4.4,Red Yellow Podzolic,Wet,6.110000000000003,8.09672131147541,0.9975103734439834,0.7099514563106797
COLOMBO,1992,Yala,1602.0,2.4,1877.0,1762.0,27.03,29.95,24.85,1229.5,1229.5,168.0,16.01,704.83,4.4,Red Yellow Podzolic,Wet,5.099999999999998,7.275147928994083,0.9382321618743344,0.5727996749288907
COLOMBO,1993,Maha,3240.0,15.9,5785.0,5777.0,25.92,29.4,23.39,1233.3,1233.3,137.0,13.33,666.9,4.4,Red Yellow Podzolic,Wet,6.009999999999998,8.93695652173913,0.9984445212582095,0.5403062464554809
COLOMBO,1993,Yala,2150.0,3.8,2146.0,2101.0,26.62,29.44,24.59,1252.9,1252.9,176.0,15.22,678.44,4.4,Red Yellow Podzolic,Wet,4.850000000000001,7.078531073446328,0.9785747554727526,0.5410638806922402
COLOMBO,1994,Maha,3148.0,14.9,5608.0,5566.0,25.72,29.13,23.4,1165.4,1165.4,140.0,13.32,646.67,4.4,Red Yellow Podzolic,Wet,5.73,8.265248226950355,0.9923337493314316,0.5544152949245541
COLOMBO,1994,Yala,2136.0,6.6,3675.35,3645.0,26.49,29.22,24.5,1281.4,1281.4,177.0,15.18,665.69,4.4,Red Yellow Podzolic,Wet,4.719999999999999,7.198876404494382,0.9914725202986658,0.5190970056144729
COLOMBO,1995,Maha,3157.0,14.2,5359.0,5291.0,26.24,29.7,23.71,883.0,883.0,133.0,13.89,704.9,4.4,Red Yellow Podzolic,Wet,5.989999999999998,6.58955223880597,0.9871268656716418,0.7973981900452488
COLOMBO,1995,Yala,1796.0,2.9,1917.0,1905.0,26.62,29.51,24.63,1589.5,1589.5,176.0,14.96,666.32,4.4,Red Yellow Podzolic,Wet,4.880000000000003,8.980225988700566,0.9932221063607924,0.4189374410562716
COLOMBO,1996,Maha,3490.0,15.7,5286.0,5282.0,25.84,29.29,23.26,1342.8,1342.8,143.0,13.43,685.61,4.4,Red Yellow Podzolic,Wet,6.029999999999998,9.325,0.9990542840930584,0.5102024110730764
