district,city,lat,lon
Colombo,Colombo,6.9271,79.8612
Colombo,Kesbewa,6.7951,79.9386
Colombo,Homagama,6.8402,80.0024
Colombo,Kaduwela,6.9355,79.9842
Colombo,Maharagama,6.8480,79.9265
Colombo,Padukka,6.8400,80.0900
Colombo,Moratuwa,6.7730,79.8816
Colombo,Dehiwala,6.8513,79.8656
Colombo,Kolonnawa,6.9329,79.8848
Colombo,Athurugiriya,6.8723,80.0004
Gampaha,Gampaha,7.0873,80.0144
Gampaha,Negombo,7.2083,79.8358
Gampaha,Ja-Ela,7.0761,79.8944
Gampaha,Kelaniya,6.9553,79.9220
Gampaha,Kadawatha,7.0007,79.9542
Gampaha,Ragama,7.0300,79.9200
Gampaha,Minuwangoda,7.1667,79.9500
Gampaha,Veyangoda,7.1539,80.0583
Gampaha,Wattala,6.9897,79.8931
Gampaha,Yakkala,7.0878,80.0367
Kalutara,Kalutara,6.5854,79.9607
Kalutara,Panadura,6.7132,79.9026
Kalutara,Horana,6.7159,80.0626
Kalutara,Bandaragama,6.7139,79.9886
Kalutara,Matugama,6.5222,80.1144
Kalutara,Beruwala,6.4788,79.9828
Kalutara,Aluthgama,6.4333,80.0000
Kalutara,Wadduwa,6.6679,79.9244
Kalutara,Ingiriya,6.7367,80.1683
Kalutara,Bulathsinhala,6.6667,80.1667
Galle,Galle,6.0535,80.2210
Galle,Hikkaduwa,6.1395,80.1063
Galle,Ambalangoda,6.2355,80.0538
Galle,Elpitiya,6.2919,80.1619
Galle,Baddegama,6.1667,80.2000
Galle,Ahangama,5.9739,80.3628
Galle,Koggala,5.9886,80.3333
Galle,Karapitiya,6.0667,80.2333
Galle,Unawatuna,6.0108,80.2497
Galle,Bentota,6.4211,79.9989
Matara,Matara,5.9485,80.5353
Matara,Weligama,5.9736,80.4297
Matara,Mirissa,5.9469,80.4597
Matara,Dickwella,5.9667,80.6833
Matara,Hakmana,6.0833,80.6500
Matara,Kamburupitiya,6.0667,80.5667
Matara,Deniyaya,6.3397,80.5481
Matara,Akuressa,6.0964,80.4808
Matara,Devinuwara,5.9300,80.5900
Matara,Thihagoda,6.0167,80.5667
Hambantota,Hambantota,6.1241,81.1185
Hambantota,Tangalle,6.0240,80.7911
Hambantota,Tissamaharama,6.2880,81.2870
Hambantota,Ambalantota,6.1145,81.0255
Hambantota,Beliatta,6.0500,80.7333
Hambantota,Weeraketiya,6.1500,80.7667
Hambantota,Walasmulla,6.1500,80.7000
Hambantota,Kataragama,6.4134,81.3346
Hambantota,Lunugamvehera,6.3333,81.2000
Hambantota,Sooriyawewa,6.3000,81.0000
